"data type","question","answer"
"string","What function would you used to convert a string to an int?","the int function"
"string","How do you access the first character of the string 'Python'?","use index 0 of the python"
"string","How do you check if a string contains only digits?","use the string is digit method"
"string","How do you check if a substring exists in a string?","you can use the in operator the find method the index method or regular expression search"
"string","When using the plus operator to concatenate two strings, what needs to be considered?","if you want spaces in between strings"
"string","How do you convert a string to a list of words?","use the split method"
"string","How do you convert an integer to a string?","using the string method"
"string","When declaring a string, what characters are used to enclose the string?"," single or double quotes"
"string","How do you get a character from an ASCII value?","use the chr function"
"string","How do you get the ASCII value of a character?","use the ord function"
"string","What is the purpose of the strip() method?","The strip() method removes leading and trailing whitespace from a string"
"string","What is the result of using the plus sign between two strings you are printing?", "the two strings are placed side by side with no space between them" 
"string","What function would you used with one = '1' and two = '2' to get output 3?","the int function" 
"string","What would you use to get a string to go to uppercase?", "use strings upper method"
"string","What happens if you attempt to apply the method lowercase to a string with numbers in it?", "the characters in the string are only changed to lowercase, numbers are not" 
"string","How is name = 'Bob' and NAME = 'Bob'?", "there value is the same, they have the same memory location" 
"string","How do you get the memory location of a variable", "use the function id, the identity of an object, its memory address"
"string","Is a string a mutable or immutable object?", "immutable"
"string","What is a variable name that is only uses capital letters?","a constant"
"string","Is there any difference between the treatment of a constant and a variable in Python?", "no, it is up to the programmer how the constant is used"
"string","Can we use reserved keywords as a variable name?", "no" 
"string","How do you create a string literal?", "by either using single or double quotes"
"string","What is used to create a multi-line strings?", "triple quotes or double quotes"
"string","How do you find the type of an object?", "use the type function"
"string","What is the function used to capitalize strings?", "capitalize"
"string","What is the function used to capitalize every first letter of each word in a string?", "title"
"string","What is the 'str' in the 'str.join()' method?", "it is the separator used between elements in the iterable"
"string","If you use the 'str.join()' method on a set, what will the results be?", "sets are unordered collections you cannot guarantee the resulting string"
"string","How do you reverse a string?","use slicing the reverse function or a loop"
"string","What does string.replace('old', 'new') do?","it replaces all occurrences of the old sting with the new string in a string"
"string","What is slicing strings?","slicing in strings allows extracting a part of the string"
"string","What is the difference between + and join() when combining strings?","The + operator concatenates strings, while join is more efficient at joining multiple strings in a sequence"
"string","What is the result of "Python" * 3?"," the string python python python"
"string","What is the result of len("Python")?","it returns the number six"
"string","How do you check if a string is a palindrome?","compare the string with its reverse"
"string","How do you convert a string to lowercase?","use string lower method"
"string","What does `max()` do when applied to a list of strings?","it returns the lexicographically largest string"
